refDes,temperature,salinity,conductivity,density,oxygen,sea_water_pressure,nitrate,chlorophyll,par,pco2,ph,spectral_irradiance_412nm,spectral_irradiance_443nm,spectral_irradiance_490nm,spectral_irradiance_510nm,spectral_irradiance_555nm,spectral_irradiance_620nm,spectral_irradiance_683nm,velocity_east,velocity_north,velocity_up,percent_good_beam,echo_intensity,correlation_magnitude,error_seawater_velocity,resistivity,cdom,backscatter,vent_temperature,seafloor_pressure,seawater_pressure_mbar,bottom_pressure_psi,mean_seafloor_depth,seafloor_uplift_10m,seafloor_uplift_5m,seafloor_uplift_predicted_tide,dark_counts,ratios
RS03INT1-MJ03C-10-TRHPHA301,"{'local':[0,10]}",,,,,,,,,,,,,,,,,,,,,,,,,"{'local':[0,5]}",,,"{'local':[300,350]}",,,,,,,,,
RS03INT1-MJ03C-09-TRHPHA302,"{'local':[0,10]}",,,,,,,,,,,,,,,,,,,,,,,,,"{'local':[0,5]}",,,"{'local':[300,350]}",,,,,,,,,
RS03AXBS-MJ03A-06-PRESTA301,"{'local':[0,10]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'local':[2653,2658]}",,,,,,,,
RS01SLBS-MJ01A-06-PRESTA101,"{'local':[0,10]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'local':[2957,2962]}",,,,,,,,
RS01SUM1-LJ01B-09-PRESTB102,"{'local':[0,10]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'local':[792,795]}",,,,,,,,
RS03AXBS-LJ03A-05-HPIESA301,"{'local':[0,10]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'local':[2657,2661]}",,,,,,,,
RS01SLBS-LJ01A-05-HPIESA101,"{'local':[0,10]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'local':[2957,2953]}",,,,,,,,
RS03ASHS-MJ03B-07-TMPSFA301,"{'local':[0,10]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE04OSBP-LJ01C-07-VEL3DC107,,,,,,,,,,,,,,,,,,,"{'local_profile':[-0.5,0.5]}","{'local_profile':[-0.5,0.5]}","{'local_profile':[-0.2,0.2]}",,"{'local_profile':[40,200]}","{'local_profile':[0,100]}",,,,,,,"{'local':[575000,605000]}",,,,,,,
CE02SHBP-LJ01D-07-VEL3DC108,,,,,,,,,,,,,,,,,,,"{'local_profile':[-0.5,0.5]}","{'local_profile':[-0.5,0.5]}","{'local_profile':[-0.2,0.2]}",,"{'local_profile':[40,200]}","{'local_profile':[0,100]}",,,,,,,"{'local':[575000,605000]}",,,,,,,
RS01SLBS-MJ01A-12-VEL3DB101,,,,,,,,,,,,,,,,,,,"{'local_profile':[-0.5,0.5]}","{'local_profile':[-0.5,0.5]}","{'local_profile':[-0.2,0.2]}",,,,,,,,,,,,,,,,,
